country,year,sector,emissions_mt,gdp_usd,population,emissions_per_capita,emissions_per_gdp
Brazil,2019,Domestic Aviation,10.0802662,8.51E+13,7811293698,0.001290473,1.18E-07
Brazil,2019,Ground Transport,171.1684,8.51E+13,7811293698,0.021912939,2.01E-06
Brazil,2019,Industry,130.017966,8.51E+13,7811293698,0.01664487,1.53E-06
Brazil,2019,International Aviation,6.6142732,8.51E+13,7811293698,0.000846758,7.77E-08
Brazil,2019,Power,80.199986,8.51E+13,7811293698,0.010267184,9.42E-07
Brazil,2019,Residential,36.6241423,8.51E+13,7811293698,0.004688614,4.30E-07
Brazil,2020,Domestic Aviation,6.07338915,8.27E+13,7887001292,0.00077005,7.34E-08
Brazil,2020,Ground Transport,145.0273742,8.27E+13,7887001292,0.018388151,1.75E-06
Brazil,2020,Industry,124.042572,8.27E+13,7887001292,0.015727469,1.50E-06
Brazil,2020,International Aviation,2.79826081,8.27E+13,7887001292,0.000354794,3.38E-08
Brazil,2020,Power,70.78899,8.27E+13,7887001292,0.0089754,8.56E-07
Brazil,2020,Residential,36.6241603,8.27E+13,7887001292,0.00464361,4.43E-07
Brazil,2021,Domestic Aviation,8.65025629,8.79E+13,7954448391,0.001087474,9.84E-08
Brazil,2021,Ground Transport,162.3656034,8.79E+13,7954448391,0.020411925,1.85E-06
Brazil,2021,Industry,129.403166,8.79E+13,7954448391,0.016268025,1.47E-06
Brazil,2021,International Aviation,2.9841704,8.79E+13,7954448391,0.000375157,3.39E-08
Brazil,2021,Power,122.135908,8.79E+13,7954448391,0.015354416,1.39E-06
Brazil,2021,Residential,36.6241423,8.79E+13,7954448391,0.004604234,4.17E-07
Brazil,2022,Domestic Aviation,10.8703367,9.08E+13,8021407192,0.001355166,1.20E-07
Brazil,2022,Ground Transport,169.298054,9.08E+13,8021407192,0.02110578,1.86E-06
Brazil,2022,Industry,128.931474,9.08E+13,8021407192,0.016073423,1.42E-06
Brazil,2022,International Aviation,4.99187574,9.08E+13,8021407192,0.000622319,5.50E-08
Brazil,2022,Power,47.066722,9.08E+13,8021407192,0.005867639,5.18E-07
Brazil,2022,Residential,36.6241423,9.08E+13,8021407192,0.0045658,4.03E-07
Brazil,2023,Domestic Aviation,4.7781022,,,,
Brazil,2023,Ground Transport,69.650576,,,,
Brazil,2023,Industry,49.950304,,,,
Brazil,2023,International Aviation,2.4148827,,,,
Brazil,2023,Power,14.415289,,,,
Brazil,2023,Residential,15.2600467,,,,
China,2019,Domestic Aviation,62.4585104,8.51E+13,7811293698,0.007995924,7.34E-07
China,2019,Ground Transport,923.99509,8.51E+13,7811293698,0.118289636,1.09E-05
China,2019,Industry,4101.706,8.51E+13,7811293698,0.525099447,4.82E-05
China,2019,International Aviation,31.4389986,8.51E+13,7811293698,0.004024813,3.69E-07
China,2019,Power,4569.01913,8.51E+13,7811293698,0.584924765,5.37E-05
China,2019,Residential,804.38035,8.51E+13,7811293698,0.102976585,9.45E-06
China,2020,Domestic Aviation,51.5524158,8.27E+13,7887001292,0.006536377,6.23E-07
China,2020,Ground Transport,808.948121,8.27E+13,7887001292,0.102567261,9.78E-06
China,2020,Industry,4258.21922,8.27E+13,7887001292,0.539903452,5.15E-05
China,2020,International Aviation,12.7527682,8.27E+13,7887001292,0.001616935,1.54E-07
China,2020,Power,4656.29234,8.27E+13,7887001292,0.590375501,5.63E-05
China,2020,Residential,808.11008,8.27E+13,7887001292,0.102461005,9.77E-06
China,2021,Domestic Aviation,57.8399209,8.79E+13,7954448391,0.007271393,6.58E-07
China,2021,Ground Transport,907.48407,8.79E+13,7954448391,0.114085104,1.03E-05
China,2021,Industry,4371.35427,8.79E+13,7954448391,0.549548385,4.97E-05
China,2021,International Aviation,10.9957295,8.79E+13,7954448391,0.001382337,1.25E-07
China,2021,Power,5078.3359,8.79E+13,7954448391,0.638427161,5.78E-05
China,2021,Residential,798.53147,8.79E+13,7954448391,0.100388038,9.08E-06
China,2022,Domestic Aviation,34.6451995,9.08E+13,8021407192,0.004319092,3.82E-07
China,2022,Ground Transport,875.06984,9.08E+13,8021407192,0.109091811,9.64E-06
China,2022,Industry,4200.39966,9.08E+13,8021407192,0.523648726,4.63E-05
China,2022,International Aviation,9.38662,9.08E+13,8021407192,0.001170196,1.03E-07
China,2022,Power,5141.3913,9.08E+13,8021407192,0.640958772,5.66E-05
China,2022,Residential,816.24389,9.08E+13,8021407192,0.101758192,8.99E-06
China,2023,Domestic Aviation,25.8350735,,,,
China,2023,Ground Transport,382.15862,,,,
China,2023,Industry,1710.65349,,,,
China,2023,International Aviation,4.7243734,,,,
China,2023,Power,2104.9814,,,,
China,2023,Residential,384.16753,,,,
EU27 & UK,2019,Domestic Aviation,16.5150549,8.51E+13,7811293698,0.002114253,1.94E-07
EU27 & UK,2019,Ground Transport,879.86619,8.51E+13,7811293698,0.112640265,1.03E-05
EU27 & UK,2019,Industry,632.436935,8.51E+13,7811293698,0.080964429,7.43E-06
EU27 & UK,2019,International Aviation,190.896978,8.51E+13,7811293698,0.024438587,2.24E-06
EU27 & UK,2019,Power,933.74006,8.51E+13,7811293698,0.119537185,1.10E-05
EU27 & UK,2019,Residential,621.485969,8.51E+13,7811293698,0.079562489,7.30E-06
EU27 & UK,2020,Domestic Aviation,8.59467814,8.27E+13,7887001292,0.001089727,1.04E-07
EU27 & UK,2020,Ground Transport,830.15596,8.27E+13,7887001292,0.105256222,1.00E-05
EU27 & UK,2020,Industry,583.890452,8.27E+13,7887001292,0.074031996,7.06E-06
EU27 & UK,2020,International Aviation,78.6302827,8.27E+13,7887001292,0.009969604,9.51E-07
EU27 & UK,2020,Power,806.32882,8.27E+13,7887001292,0.102235158,9.75E-06
EU27 & UK,2020,Residential,609.100668,8.27E+13,7887001292,0.077228422,7.37E-06
EU27 & UK,2021,Domestic Aviation,11.2660927,8.79E+13,7954448391,0.001416326,1.28E-07
EU27 & UK,2021,Ground Transport,885.17511,8.79E+13,7954448391,0.111280515,1.01E-05
EU27 & UK,2021,Industry,641.241478,8.79E+13,7954448391,0.080614198,7.30E-06
EU27 & UK,2021,International Aviation,98.659176,8.79E+13,7954448391,0.012403019,1.12E-06
EU27 & UK,2021,Power,889.522,8.79E+13,7954448391,0.111826987,1.01E-05
EU27 & UK,2021,Residential,658.504275,8.79E+13,7954448391,0.082784405,7.49E-06
EU27 & UK,2022,Domestic Aviation,14.5600984,9.08E+13,8021407192,0.001815155,1.60E-07
EU27 & UK,2022,Ground Transport,884.94155,9.08E+13,8021407192,0.110322482,9.75E-06
EU27 & UK,2022,Industry,664.998588,9.08E+13,8021407192,0.082902983,7.32E-06
EU27 & UK,2022,International Aviation,163.09517,9.08E+13,8021407192,0.020332489,1.80E-06
EU27 & UK,2022,Power,930.18485,9.08E+13,8021407192,0.115962802,1.02E-05
EU27 & UK,2022,Residential,608.675043,9.08E+13,8021407192,0.07588133,6.70E-06
EU27 & UK,2023,Domestic Aviation,5.908224,,,,
EU27 & UK,2023,Ground Transport,374.91911,,,,
EU27 & UK,2023,Industry,276.654366,,,,
EU27 & UK,2023,International Aviation,66.700302,,,,
EU27 & UK,2023,Power,310.6327,,,,
EU27 & UK,2023,Residential,326.822654,,,,
France,2019,Domestic Aviation,2.3268967,8.51E+13,7811293698,0.000297889,2.73E-08
France,2019,Ground Transport,116.619405,8.51E+13,7811293698,0.014929589,1.37E-06
France,2019,Industry,61.6667136,8.51E+13,7811293698,0.007894558,7.25E-07
France,2019,International Aviation,20.1138888,8.51E+13,7811293698,0.002574975,2.36E-07
France,2019,Power,29.429994,8.51E+13,7811293698,0.003767621,3.46E-07
France,2019,Residential,79.8703973,8.51E+13,7811293698,0.01022499,9.39E-07
France,2020,Domestic Aviation,1.29290224,8.27E+13,7887001292,0.000163928,1.56E-08
France,2020,Ground Transport,105.09511,8.27E+13,7887001292,0.013325104,1.27E-06
France,2020,Industry,54.7306219,8.27E+13,7887001292,0.006939345,6.62E-07
France,2020,International Aviation,8.83622525,8.27E+13,7887001292,0.001120353,1.07E-07
France,2020,Power,26.904545,8.27E+13,7887001292,0.003411252,3.25E-07
France,2020,Residential,76.0239508,8.27E+13,7887001292,0.009639145,9.19E-07
France,2021,Domestic Aviation,1.72464943,8.79E+13,7954448391,0.000216816,1.96E-08
France,2021,Ground Transport,118.219392,8.79E+13,7954448391,0.014862048,1.34E-06
France,2021,Industry,58.1228222,8.79E+13,7954448391,0.007306958,6.61E-07
France,2021,International Aviation,11.5033434,8.79E+13,7954448391,0.001446152,1.31E-07
France,2021,Power,28.524801,8.79E+13,7954448391,0.003586019,3.25E-07
France,2021,Residential,83.6191986,8.79E+13,7954448391,0.010512256,9.51E-07
France,2022,Domestic Aviation,1.93709281,9.08E+13,8021407192,0.00024149,2.13E-08
France,2022,Ground Transport,118.804889,9.08E+13,8021407192,0.014810978,1.31E-06
France,2022,Industry,58.9199174,9.08E+13,8021407192,0.007345334,6.49E-07
France,2022,International Aviation,17.8770186,9.08E+13,8021407192,0.002228664,1.97E-07
France,2022,Power,34.295324,9.08E+13,8021407192,0.004275475,3.78E-07
France,2022,Residential,75.8204125,9.08E+13,8021407192,0.009452258,8.35E-07
France,2023,Domestic Aviation,0.72355654,,,,
France,2023,Ground Transport,49.879676,,,,
France,2023,Industry,24.9049299,,,,
France,2023,International Aviation,7.4625653,,,,
France,2023,Power,11.817255,,,,
France,2023,Residential,41.4238384,,,,
Germany,2019,Domestic Aviation,2.12409486,8.51E+13,7811293698,0.000271926,2.50E-08
Germany,2019,Ground Transport,150.481393,8.51E+13,7811293698,0.019264593,1.77E-06
Germany,2019,Industry,124.054473,8.51E+13,7811293698,0.015881425,1.46E-06
Germany,2019,International Aviation,28.7922679,8.51E+13,7811293698,0.003685979,3.38E-07
Germany,2019,Power,243.219986,8.51E+13,7811293698,0.031136966,2.86E-06
Germany,2019,Residential,138.2136789,8.51E+13,7811293698,0.017694083,1.62E-06
Germany,2020,Domestic Aviation,1.018777383,8.27E+13,7887001292,0.000129172,1.23E-08
Germany,2020,Ground Transport,149.137727,8.27E+13,7887001292,0.018909307,1.80E-06
Germany,2020,Industry,113.0152695,8.27E+13,7887001292,0.014329308,1.37E-06
Germany,2020,International Aviation,13.1032385,8.27E+13,7887001292,0.001661371,1.58E-07
Germany,2020,Power,204.329917,8.27E+13,7887001292,0.025907174,2.47E-06
Germany,2020,Residential,134.1300919,8.27E+13,7887001292,0.017006475,1.62E-06
Germany,2021,Domestic Aviation,0.917224109,8.79E+13,7954448391,0.00011531,1.04E-08
Germany,2021,Ground Transport,150.419537,8.79E+13,7954448391,0.018910115,1.71E-06
Germany,2021,Industry,118.4737671,8.79E+13,7954448391,0.014894027,1.35E-06
Germany,2021,International Aviation,16.5137737,8.79E+13,7954448391,0.002076043,1.88E-07
Germany,2021,Power,239.423859,8.79E+13,7954448391,0.030099367,2.72E-06
Germany,2021,Residential,150.5907198,8.79E+13,7954448391,0.018931636,1.71E-06
Germany,2022,Domestic Aviation,1.15224465,9.08E+13,8021407192,0.000143646,1.27E-08
Germany,2022,Ground Transport,149.582539,9.08E+13,8021407192,0.018647917,1.65E-06
Germany,2022,Industry,117.9962606,9.08E+13,8021407192,0.01471017,1.30E-06
Germany,2022,International Aviation,23.9753874,9.08E+13,8021407192,0.002988925,2.64E-07
Germany,2022,Power,258.276721,9.08E+13,8021407192,0.03219843,2.84E-06
Germany,2022,Residential,134.7328108,9.08E+13,8021407192,0.016796655,1.48E-06
Germany,2023,Domestic Aviation,0.499600604,,,,
Germany,2023,Ground Transport,62.624113,,,,
Germany,2023,Industry,49.617922,,,,
Germany,2023,International Aviation,9.7151034,,,,
Germany,2023,Power,89.277584,,,,
Germany,2023,Residential,75.6085935,,,,
India,2019,Domestic Aviation,7.1957491,8.51E+13,7811293698,0.000921198,8.46E-08
India,2019,Ground Transport,299.62972,8.51E+13,7811293698,0.038358527,3.52E-06
India,2019,Industry,751.12442,8.51E+13,7811293698,0.096158773,8.83E-06
India,2019,International Aviation,12.0438273,8.51E+13,7811293698,0.001541848,1.42E-07
India,2019,Power,1197.63998,8.51E+13,7811293698,0.153321591,1.41E-05
India,2019,Residential,204.052731,8.51E+13,7811293698,0.026122783,2.40E-06
India,2020,Domestic Aviation,3.907665335,8.27E+13,7887001292,0.000495456,4.73E-08
India,2020,Ground Transport,258.160396,8.27E+13,7887001292,0.032732389,3.12E-06
India,2020,Industry,655.950875,8.27E+13,7887001292,0.083168602,7.93E-06
India,2020,International Aviation,5.57177325,8.27E+13,7887001292,0.00070645,6.74E-08
India,2020,Power,1139.5451,8.27E+13,7887001292,0.14448395,1.38E-05
India,2020,Residential,201.618102,8.27E+13,7887001292,0.025563341,2.44E-06
India,2021,Domestic Aviation,5.17972653,8.79E+13,7954448391,0.000651174,5.89E-08
India,2021,Ground Transport,268.91404,8.79E+13,7954448391,0.033806749,3.06E-06
India,2021,Industry,744.47222,8.79E+13,7954448391,0.093591935,8.47E-06
India,2021,International Aviation,6.04341442,8.79E+13,7954448391,0.000759753,6.88E-08
India,2021,Power,1278.17489,8.79E+13,7954448391,0.160686804,1.45E-05
India,2021,Residential,184.706526,8.79E+13,7954448391,0.023220532,2.10E-06
India,2022,Domestic Aviation,6.44059487,9.08E+13,8021407192,0.000802926,7.09E-08
India,2022,Ground Transport,290.621134,9.08E+13,8021407192,0.036230692,3.20E-06
India,2022,Industry,773.55169,9.08E+13,8021407192,0.096435908,8.52E-06
India,2022,International Aviation,10.4766766,9.08E+13,8021407192,0.00130609,1.15E-07
India,2022,Power,1390.28136,9.08E+13,8021407192,0.173321379,1.53E-05
India,2022,Residential,191.221548,9.08E+13,8021407192,0.023838903,2.11E-06
India,2023,Domestic Aviation,2.9500769,,,,
India,2023,Ground Transport,121.308939,,,,
India,2023,Industry,335.20236,,,,
India,2023,International Aviation,5.0578515,,,,
India,2023,Power,659.48004,,,,
India,2023,Residential,97.435898,,,,
Italy,2019,Domestic Aviation,1.88723078,8.51E+13,7811293698,0.000241603,2.22E-08
Italy,2019,Ground Transport,91.12591,8.51E+13,7811293698,0.011665918,1.07E-06
Italy,2019,Industry,54.38687,8.51E+13,7811293698,0.006962594,6.39E-07
Italy,2019,International Aviation,14.9858947,8.51E+13,7811293698,0.001918491,1.76E-07
Italy,2019,Power,93.880007,8.51E+13,7811293698,0.012018497,1.10E-06
Italy,2019,Residential,74.9534936,8.51E+13,7811293698,0.009595529,8.81E-07
Italy,2020,Domestic Aviation,1.002047675,8.27E+13,7887001292,0.000127051,1.21E-08
Italy,2020,Ground Transport,81.8395765,8.27E+13,7887001292,0.010376514,9.90E-07
Italy,2020,Industry,47.9729588,8.27E+13,7887001292,0.006082535,5.80E-07
Italy,2020,International Aviation,4.84827128,8.27E+13,7887001292,0.000614717,5.86E-08
Italy,2020,Power,86.748384,8.27E+13,7887001292,0.010998906,1.05E-06
Italy,2020,Residential,74.2466967,8.27E+13,7887001292,0.009413806,8.98E-07
Italy,2021,Domestic Aviation,1.469125802,8.79E+13,7954448391,0.000184692,1.67E-08
Italy,2021,Ground Transport,90.644344,8.79E+13,7954448391,0.011395428,1.03E-06
Italy,2021,Industry,54.4470577,8.79E+13,7954448391,0.006844856,6.19E-07
Italy,2021,International Aviation,6.4677769,8.79E+13,7954448391,0.000813102,7.36E-08
Italy,2021,Power,90.324046,8.79E+13,7954448391,0.011355161,1.03E-06
Italy,2021,Residential,77.7737283,8.79E+13,7954448391,0.009777388,8.85E-07
Italy,2022,Domestic Aviation,1.95819584,9.08E+13,8021407192,0.000244121,2.16E-08
Italy,2022,Ground Transport,90.621587,9.08E+13,8021407192,0.011297467,9.98E-07
Italy,2022,Industry,54.4212796,9.08E+13,8021407192,0.006784505,5.99E-07
Italy,2022,International Aviation,11.5799275,9.08E+13,8021407192,0.001443628,1.28E-07
Italy,2022,Power,101.359117,9.08E+13,8021407192,0.012636077,1.12E-06
Italy,2022,Residential,72.7720449,9.08E+13,8021407192,0.009072229,8.01E-07
Italy,2023,Domestic Aviation,0.7372981,,,,
Italy,2023,Ground Transport,39.049459,,,,
Italy,2023,Industry,23.4421,,,,
Italy,2023,International Aviation,4.9155651,,,,
Italy,2023,Power,33.346694,,,,
Italy,2023,Residential,39.8981987,,,,
Japan,2019,Domestic Aviation,9.01393752,8.51E+13,7811293698,0.001153962,1.06E-07
Japan,2019,Ground Transport,178.220932,8.51E+13,7811293698,0.022815802,2.09E-06
Japan,2019,Industry,268.825171,8.51E+13,7811293698,0.034414936,3.16E-06
Japan,2019,International Aviation,19.5749107,8.51E+13,7811293698,0.002505976,2.30E-07
Japan,2019,Power,524.539991,8.51E+13,7811293698,0.067151487,6.16E-06
Japan,2019,Residential,108.312329,8.51E+13,7811293698,0.013866119,1.27E-06
Japan,2020,Domestic Aviation,6.5078695,8.27E+13,7887001292,0.000825139,7.87E-08
Japan,2020,Ground Transport,167.564757,8.27E+13,7887001292,0.021245687,2.03E-06
Japan,2020,Industry,241.038573,8.27E+13,7887001292,0.030561498,2.91E-06
Japan,2020,International Aviation,8.73283861,8.27E+13,7887001292,0.001107244,1.06E-07
Japan,2020,Power,516.831841,8.27E+13,7887001292,0.065529575,6.25E-06
Japan,2020,Residential,108.409187,8.27E+13,7887001292,0.013745298,1.31E-06
Japan,2021,Domestic Aviation,6.54719809,8.79E+13,7954448391,0.000823086,7.45E-08
Japan,2021,Ground Transport,172.089595,8.79E+13,7954448391,0.021634385,1.96E-06
Japan,2021,Industry,254.444582,8.79E+13,7954448391,0.031987709,2.89E-06
Japan,2021,International Aviation,8.3641499,8.79E+13,7954448391,0.001051506,9.52E-08
Japan,2021,Power,497.804389,8.79E+13,7954448391,0.062581887,5.66E-06
Japan,2021,Residential,107.431895,8.79E+13,7954448391,0.013505889,1.22E-06
Japan,2022,Domestic Aviation,9.1519457,9.08E+13,8021407192,0.00114094,1.01E-07
Japan,2022,Ground Transport,179.038788,9.08E+13,8021407192,0.022320122,1.97E-06
Japan,2022,Industry,254.333674,9.08E+13,8021407192,0.031706865,2.80E-06
Japan,2022,International Aviation,9.3533675,9.08E+13,8021407192,0.001166051,1.03E-07
Japan,2022,Power,517.454019,9.08E+13,8021407192,0.064509132,5.70E-06
Japan,2022,Residential,111.30337,9.08E+13,8021407192,0.013875791,1.23E-06
Japan,2023,Domestic Aviation,3.8996546,,,,
Japan,2023,Ground Transport,75.33111,,,,
Japan,2023,Industry,101.409613,,,,
Japan,2023,International Aviation,5.6613069,,,,
Japan,2023,Power,191.804448,,,,
Japan,2023,Residential,59.534966,,,,
ROW,2019,Domestic Aviation,69.290614,8.51E+13,7811293698,0.008870568,8.14E-07
ROW,2019,Ground Transport,2177.4323,8.51E+13,7811293698,0.278754376,2.56E-05
ROW,2019,Industry,3578.29323,8.51E+13,7811293698,0.458092266,4.20E-05
ROW,2019,International Aviation,277.168214,8.51E+13,7811293698,0.03548301,3.26E-06
ROW,2019,Power,3773.9337,8.51E+13,7811293698,0.483138113,4.43E-05
ROW,2019,Residential,1016.1141,8.51E+13,7811293698,0.13008269,1.19E-05
ROW,2020,Domestic Aviation,40.6477605,8.27E+13,7887001292,0.005153766,4.92E-07
ROW,2020,Ground Transport,1879.6129,8.27E+13,7887001292,0.238317813,2.27E-05
ROW,2020,Industry,3371.06245,8.27E+13,7887001292,0.427420045,4.08E-05
ROW,2020,International Aviation,120.1527907,8.27E+13,7887001292,0.015234281,1.45E-06
ROW,2020,Power,3533.2125,8.27E+13,7887001292,0.447979196,4.27E-05
ROW,2020,Residential,1025.77862,8.27E+13,7887001292,0.130059395,1.24E-05
ROW,2021,Domestic Aviation,49.0424923,8.79E+13,7954448391,0.006165417,5.58E-07
ROW,2021,Ground Transport,2086.14925,8.79E+13,7954448391,0.262261963,2.37E-05
ROW,2021,Industry,3566.47272,8.79E+13,7954448391,0.448362042,4.06E-05
ROW,2021,International Aviation,139.346326,8.79E+13,7954448391,0.017518038,1.59E-06
ROW,2021,Power,3478.32943,8.79E+13,7954448391,0.437281036,3.96E-05
ROW,2021,Residential,993.06415,8.79E+13,7954448391,0.124843874,1.13E-05
ROW,2022,Domestic Aviation,65.159299,9.08E+13,8021407192,0.008123176,7.18E-07
ROW,2022,Ground Transport,2285.18451,9.08E+13,8021407192,0.284885738,2.52E-05
ROW,2022,Industry,3771.32177,9.08E+13,8021407192,0.470157128,4.15E-05
ROW,2022,International Aviation,204.666389,9.08E+13,8021407192,0.025515023,2.25E-06
ROW,2022,Power,3377.54822,9.08E+13,8021407192,0.421066795,3.72E-05
ROW,2022,Residential,1012.44498,9.08E+13,8021407192,0.126217876,1.12E-05
ROW,2023,Domestic Aviation,28.028042,,,,
ROW,2023,Ground Transport,986.29,,,,
ROW,2023,Industry,1537.29419,,,,
ROW,2023,International Aviation,102.092409,,,,
ROW,2023,Power,1339.71788,,,,
ROW,2023,Residential,507.76724,,,,
Russia,2019,Domestic Aviation,15.4215102,8.51E+13,7811293698,0.001974258,1.81E-07
Russia,2019,Ground Transport,232.372603,8.51E+13,7811293698,0.029748287,2.73E-06
Russia,2019,Industry,284.324305,8.51E+13,7811293698,0.036399131,3.34E-06
Russia,2019,International Aviation,13.2775779,8.51E+13,7811293698,0.001699792,1.56E-07
Russia,2019,Power,840.44004,8.51E+13,7811293698,0.107592938,9.88E-06
Russia,2019,Residential,172.031816,8.51E+13,7811293698,0.022023473,2.02E-06
Russia,2020,Domestic Aviation,13.4161851,8.27E+13,7887001292,0.00170105,1.62E-07
Russia,2020,Ground Transport,222.812639,8.27E+13,7887001292,0.028250615,2.69E-06
Russia,2020,Industry,287.868086,8.27E+13,7887001292,0.036499054,3.48E-06
Russia,2020,International Aviation,5.2717709,8.27E+13,7887001292,0.000668413,6.37E-08
Russia,2020,Power,979.18902,8.27E+13,7887001292,0.124152258,1.18E-05
Russia,2020,Residential,165.454955,8.27E+13,7887001292,0.020978183,2.00E-06
Russia,2021,Domestic Aviation,18.5671246,8.79E+13,7954448391,0.002334181,2.11E-07
Russia,2021,Ground Transport,232.167514,8.79E+13,7954448391,0.029187129,2.64E-06
Russia,2021,Industry,302.454596,8.79E+13,7954448391,0.038023327,3.44E-06
